modulation,mod_value,growth_rate,width,length,surface,volume
base medium,NA,0.273,3.1220207275121896,13.806224650392801,135.413071972036,108.76736520330499
base medium,NA,0.273,3.2026143416323,14.0700630071712,141.563261244165,116.346067909696
base medium,NA,0.273,3.14278186644689,13.638031908928498,134.652931742926,109.378232164734
base medium,NA,0.273,3.01585544103064,15.8877671301177,150.530068417439,117.498971920441
base medium,NA,0.273,3.1809727424716003,13.751969220583801,137.427837289124,112.32437335038901
base medium,NA,0.273,3.12877431620178,13.427426518678999,131.98266547107,105.97438309691601
base medium,NA,0.273,3.08705565065561,13.469699833177302,130.63280402995701,103.671379867946
base medium,NA,0.273,2.92738365091182,13.7872395387961,126.796374755928,95.41216724436009
base medium,NA,0.273,2.9320544145328395,11.4550585691741,105.516217071204,79.4705421866729
base medium,NA,0.273,3.1991526077663703,12.995554725630699,130.61096935540002,107.883489677456
base medium,NA,0.273,3.0361784752164103,14.9235891154705,142.347699559678,110.652118632791
base medium,NA,0.273,3.07331076409658,13.1306795873439,126.777899987644,100.40108819805799
base medium,NA,0.273,3.0928621124918596,13.3600955183234,129.81354033106,103.273172947516
base medium,NA,0.273,2.7966719771659903,11.2520222312973,98.86031388465359,71.3312011358611
base medium,NA,0.273,3.27768509140762,13.4021259263106,138.003719797983,117.87364004916799
base medium,NA,0.273,3.1707678766600496,14.4602104090908,144.041930976711,117.446992155356
base medium,NA,0.273,3.06988089618048,13.8127374406321,133.21439463074,104.644745502364
base medium,NA,0.273,3.2034634583765502,13.1050777842677,131.889204901553,107.98095192467699
base medium,NA,0.273,3.05338089467347,14.9896394659055,143.787801604166,112.56523625220301
base medium,NA,0.273,3.14853955664917,12.1500528466834,120.18138192878,96.90806029420591
base medium,NA,0.273,2.72240331782919,12.8961487406835,110.29666260062099,77.03920694382491
base medium,NA,0.273,3.0085888648420602,14.2584637886278,134.767587329821,103.710411549312
base medium,NA,0.273,2.8440136031907097,12.7559112467602,113.970651498813,83.1672326640081
base medium,NA,0.273,3.00774251492382,13.298861518778901,125.66229616575599,97.400829309431
base medium,NA,0.273,2.89703520416574,13.723229544619999,124.899291009316,92.56839706569521
base medium,NA,0.273,2.93533742668115,14.0108260914365,129.202717194803,97.2784735304147
base medium,NA,0.273,3.06568149344902,14.552957886435001,140.161319531327,109.666692079667
base medium,NA,0.273,3.0695784294088297,13.692810948307901,132.044774445461,104.682110104892
base medium,NA,0.273,2.9184641129748,13.2221086458039,121.22856139740401,90.545328906363
base medium,NA,0.273,2.96235401538806,12.884507596168802,119.909793790603,91.82065721037779
base medium,NA,0.273,3.21338520379543,13.207899083269401,133.33568742158198,110.721756823204
base medium,NA,0.273,3.10331106447055,13.371179506078901,130.3601650697,103.957173839425
base medium,NA,0.273,3.21938298777071,13.429585500371498,135.82669269576002,112.161136022764
base medium,NA,0.273,3.04084838680769,12.2301032010547,116.835483921933,91.5200472364158
base medium,NA,0.273,2.9663203285323103,12.752253329123,118.837868148808,90.2693303598761
base medium,NA,0.273,2.9108162159991,14.2703432607754,130.496564430784,96.6290105138198
base medium,NA,0.273,3.08974830870764,14.447515542421998,140.23814103735202,110.046568136752
base medium,NA,0.273,2.7983475027309197,13.1026304475695,115.18873520312799,82.9542628637775
base medium,NA,0.273,3.22034317138731,14.077231114690099,142.419437975163,118.647728519369
base medium,NA,0.273,3.0433235228789197,12.9110694910015,123.44122250982099,96.550009857521
base medium,NA,0.273,3.2378094496757597,15.1168085055437,153.766337624611,127.89410486943399
base medium,NA,0.273,3.13445029062487,13.205407894967301,130.035843719604,104.83075018585899
base medium,NA,0.273,3.22614634459323,11.9792886034832,121.41293694107901,101.064807072278
base medium,NA,0.273,3.19469935746288,13.4575247658693,135.065694119659,111.126656318107
base medium,NA,0.273,3.0685996762884105,14.3719225345154,138.549503962286,109.17067701994199
base medium,NA,0.273,2.8555202481403796,11.2441165578332,100.869636467415,73.4980144129604
base medium,NA,0.273,3.26710925654629,12.9632803464517,133.054155882054,110.951268357433
base medium,NA,0.273,3.1640032988858504,13.243545010557199,131.640963479695,105.82502608975
